venue,citacoes,estrato,tipo,sigla_ou_issn,nome_qualis,como
,1074,,,,,sem venue
Brazilian Symposium on Software Engineering,659,A3,evento,SBES,Brazilian Symposium on Software Engineering,nome
Brazilian Symposium on Software Quality,250,A3,evento,SBQS,Simpósio Brasileiro de Qualidade de Software,apelido
arXiv.org,238,,,,,preprint
Journal of Systems and Software,225,A2,periódico,0164-1212,THE JOURNAL OF SYSTEMS AND SOFTWARE,ISSN
Information and Software Technology,177,A2,periódico,0950-5849,INFORMATION AND SOFTWARE TECHNOLOGY,ISSN
Empirical Software Engineering,124,A2,periódico,1382-3256,EMPIRICAL SOFTWARE ENGINEERING,ISSN
Journal of Software Engineering Research and Development,119,A4,periódico,2195-1721,JOURNAL OF SOFTWARE ENGINEERING RESEARCH AND DEVELOPMENT,ISSN
International Conference on Enterprise Information Systems,105,A3,evento,ICEIS,International Conference on Enterprise Information Systems,nome
Brazilian Symposium on Information Systems,104,A4,evento,SBSI,Simpósio Brasileiro de Sistemas de Informação,apelido
IEEE Access,91,A3,periódico,2169-3536,IEEE ACCESS,ISSN
Conferencia Iberoamericana de Software Engineering,63,B1,evento,CIbSE,Conferencia Iberoamericana de Software Engineering,nome
Workshop em Engenharia de Requisitos,60,,,,,workshop/trilha
ACM Transactions on Software Engineering and Methodology,57,A1,periódico,1049-331X,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ISSN
J. Softw. Evol. Process.,56,A4,periódico,2047-7481,JOURNAL OF SOFTWARE: EVOLUTION AND PROCESS,nome
International Conference on Software Engineering,55,A1,evento,ICSE,International Conference on Software Engineering,nome
IEEE Transactions on Software Engineering,52,A1,periódico,0098-5589,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,ISSN
International Conference on Evaluation & Assessment in Software Engineering,50,A2,evento,EASE,International Conference on Evaluation and Assessment in Software Engineering,nome
International Symposium on Empirical Software Engineering and Measurement,47,A2,evento,ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,nome
IEEE Working Conference on Mining Software Repositories,47,A1,evento,MSR,Working Conference on Mining Software Repositories,nome
Journal of the Brazilian Computer Society,45,A3,periódico,0104-6500,JOURNAL OF THE BRAZILIAN COMPUTER SOCIETY (IMPRESSO),ISSN
"Brazilian Symposium on Software Components, Architectures and Reuse",44,B1,evento,SBCARS,"Brazilian Symposium on Components, Architectures and Reuse Software",apelido
ACM Symposium on Applied Computing,39,A1,evento,SAC,ACM Symposium on Applied Computing,nome
IEEE International Conference on Software Maintenance and Evolution,39,A2,evento,ICSME,IEEE International Conference on Software Maintenance and Evolution,nome
Brazilian Symposium on Systematic and Automated Software Testing,39,B1,evento,SAST,Brazilian Symposium on Systematic and Automated Software Testing,nome
"IEEE International Conference on Software Analysis, Evolution, and Reengineering",38,A1,evento,SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering",nome
International Conference on Automated Software Engineering,38,A1,evento,ASE,IEEE/ACM International Conference on Automated Software Engineering,nome
Science of Computer Programming,37,A3,periódico,0167-6423,SCIENCE OF COMPUTER PROGRAMMING (PRINT),ISSN
"Software, Practice & Experience",37,A2,periódico,0038-0644,"SOFTWARE, PRACTICE & EXPERIENCE (PRINT)",ISSN
Frontiers in Education Conference,36,A2,evento,FIE,IEEE Frontiers in Education Conference,nome
Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais,36,A3,evento,IHC,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,nome aproximado
ESEC/SIGSOFT FSE,30,,,,,não listado
Applied Sciences,29,C,periódico,2076-3417,APPLIED SCIENCES,ISSN
Requirements Engineering,27,A2,periódico,0947-3602,REQUIREMENTS ENGINEERING (LONDON. PRINT),ISSN
IEEE International Conference on Program Comprehension,26,A2,evento,ICPC,International Conference on Program Comprehension,nome
"IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies",25,A4,evento,CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,sigla
International Conference on Computer Supported Education,25,A3,evento,CSEDU,International Conference on Computer Supported Education,nome
IEEE International Requirements Engineering Conference,23,A2,evento,RE,IEEE International Requirements Engineering Conference,nome
SIGSOFT FSE Companion,22,,,,,workshop/trilha
Journal of universal computer science (Online),22,B1,periódico,0948-6968,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,ISSN
Journal of Interactive Systems,21,A4,periódico,2236-3297,SBC JOURNAL ON 3D INTERACTIVE SYSTEMS,ISSN
Software quality journal,21,A3,periódico,0963-9314,SOFTWARE QUALITY JOURNAL,ISSN
Proceedings of the 2026 IEEE/ACM 48th International Conference on Software Engineering,21,A1,evento,ICSE,International Conference on Software Engineering,nome
Software Product Lines Conference,20,,,,,não listado
Proc. ACM Hum. Comput. Interact.,20,A1,periódico,2573-0142,PROCEEDINGS OF THE ACM ON HUMAN-COMPUTER INTERACTION,nome
International Conference on Human Factors in Computing Systems,19,A1,evento,CHI,ACM Conference on Human Factors in Computing Systems,apelido
Computer Science Education,19,,,,,não listado
Latin American Computing Conference / Conferencia Latinoamericana En Informatica,18,B2,evento,CLEI,Conferencia Latinoamericana de Informática,sigla
Iberian Conference on Information Systems and Technologies,18,A3,evento,CISTI,Iberian Conference on Information Systems and Technologies,nome
IET Software,18,A3,periódico,1751-8806,IET SOFTWARE (PRINT),ISSN
EUROMICRO Conference on Software Engineering and Advanced Applications,18,A3,evento,SEAA,Euromicro Conference on Software Engineering and Advanced Applications,nome
"Workshops on Software Visualization, Evolution and Maintenance",17,,,,,workshop/trilha
Communication Systems and Applications,17,,,,,não listado
Journal of Software and Systems Modeling,16,A2,periódico,1619-1366,SOFTWARE AND SYSTEMS MODELING,ISSN
"International Conference on Software Testing, Verification and Validation Workshops",16,,,,,workshop/trilha
International Conference on Software and Data Technologies,15,B1,evento,ICSOFT,International Conference on Software Technologies,apelido
CLEI Electronic Journal,15,B3,periódico,0717-5000,CLEI ELECTRONIC JOURNAL,ISSN
Brazilian Symposium on Multimedia and the Web,15,A3,evento,WEBMEDIA,Brazilian Symposium on Multimedia and the Web,nome
ACM Computing Surveys,15,A1,periódico,0360-0300,ACM COMPUTING SURVEYS,ISSN
IEEE Working Conference on Source Code Analysis and Manipulation,15,A3,evento,SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,nome
Brazilian Symposium on Collaborative Systems,15,A4,evento,SBSC,Simpósio Brasileiro de Sistemas Colaborativos,apelido
IEEE Latin America Transactions,14,B1,periódico,1548-0992,REVISTA IEEE AMÉRICA LATINA,ISSN
